code,name,population
01545,北海道 斜里町,"12,231"
01546,北海道 清里町,"4,221"
01547,北海道 小清水町,"5,085"
01549,北海道 訓子府町,"5,100"
01550,北海道 置戸町,"3,092"
01552,北海道 佐呂間町,"5,362"
01555,北海道 遠軽町,"20,873"
01559,北海道 湧別町,"9,231"
01560,北海道 滝上町,"2,721"
01561,北海道 興部町,"3,909"
01562,北海道 西興部村,"1,116"
01563,北海道 雄武町,"4,525"
01564,北海道 大空町,"7,360"
01571,北海道 豊浦町,"4,291"
01575,北海道 壮瞥町,"2,922"
01578,北海道 白老町,"17,740"
01581,北海道 厚真町,"4,838"
01584,北海道 洞爺湖町,"9,299"
01585,北海道 安平町,"8,148"
01586,北海道 むかわ町,"8,596"
01601,北海道 日高町,"12,378"
01602,北海道 平取町,"5,315"
01604,北海道 新冠町,"5,592"
01607,北海道 浦河町,"13,075"
01608,北海道 様似町,"4,518"
01609,北海道 えりも町,"4,906"
01610,北海道 新ひだか町,"23,231"
01631,北海道 音更町,"44,807"
01632,北海道 士幌町,"6,132"
01633,北海道 上士幌町,"4,765"
01634,北海道 鹿追町,"5,542"
01635,北海道 新得町,"6,288"
01636,北海道 清水町,"9,599"
01637,北海道 芽室町,"18,484"
01638,北海道 中札内村,"3,966"
01639,北海道 更別村,"3,185"
01641,北海道 大樹町,"5,738"
01642,北海道 広尾町,"7,030"
01643,北海道 幕別町,"26,760"
01644,北海道 池田町,"6,882"
01645,北海道 豊頃町,"3,182"
01646,北海道 本別町,"7,358"
01647,北海道 足寄町,"6,990"
01648,北海道 陸別町,"2,482"
01649,北海道 浦幌町,"4,919"
01661,北海道 釧路町,"19,833"
01662,北海道 厚岸町,"9,778"
01663,北海道 浜中町,"6,061"
01664,北海道 標茶町,"7,742"
01665,北海道 弟子屈町,"7,758"
01667,北海道 鶴居村,"2,534"
01668,北海道 白糠町,"8,068"
01691,北海道 別海町,"15,273"
01692,北海道 中標津町,"23,774"
01693,北海道 標津町,"5,242"
01694,北海道 羅臼町,"5,415"
02201,青森県 青森市,"287,648"
02202,青森県 弘前市,"177,411"
02203,青森県 八戸市,"231,257"
02204,青森県 黒石市,"34,284"
02205,青森県 五所川原市,"55,181"
02206,青森県 十和田市,"63,429"
02207,青森県 三沢市,"40,196"
02208,青森県 むつ市,"58,493"
02209,青森県 つがる市,"33,316"
02210,青森県 平川市,"32,106"
02301,青森県 平内町,"11,142"
02303,青森県 今別町,"2,756"
02304,青森県 蓬田村,"2,896"
02307,青森県 外ヶ浜町,"6,198"
02321,青森県 鰺ヶ沢町,"10,126"
02323,青森県 深浦町,"8,429"
02343,青森県 西目屋村,"1,415"
02361,青森県 藤崎町,"15,179"
02362,青森県 大鰐町,"9,676"
02367,青森県 田舎館村,"7,783"
02381,青森県 板柳町,"13,935"
02384,青森県 鶴田町,"13,392"
02387,青森県 中泊町,"11,187"
02401,青森県 野辺地町,"13,524"
02402,青森県 七戸町,"15,709"
02405,青森県 六戸町,"10,423"
02406,青森県 横浜町,"4,535"
02408,青森県 東北町,"17,955"
02411,青森県 六ヶ所村,"10,536"
02412,青森県 おいらせ町,"24,222"
02423,青森県 大間町,"5,227"
02424,青森県 東通村,"6,607"
02425,青森県 風間浦村,"1,976"
02426,青森県 佐井村,"2,148"
02441,青森県 三戸町,"10,135"
02442,青森県 五戸町,"17,433"
02443,青森県 田子町,"5,554"
02445,青森県 南部町,"18,312"
02446,青森県 階上町,"14,025"
02450,青森県 新郷村,"2,509"
03201,岩手県 盛岡市,"297,631"
03202,岩手県 宮古市,"56,676"
03203,岩手県 大船渡市,"38,058"
03205,岩手県 花巻市,"97,702"
03206,岩手県 北上市,"93,511"
03207,岩手県 久慈市,"35,642"
03208,岩手県 遠野市,"28,062"
03209,岩手県 一関市,"121,583"
03210,岩手県 陸前高田市,"19,758"
03211,岩手県 釜石市,"36,802"
03213,岩手県 二戸市,"27,611"
03214,岩手県 八幡平市,"26,355"
03215,岩手県 奥州市,"119,422"
03216,岩手県 滝沢市,"55,463"
03301,岩手県 雫石町,"16,981"
03302,岩手県 葛巻町,"6,344"
03303,岩手県 岩手町,"13,692"
03321,岩手県 紫波町,"32,614"
03322,岩手県 矢巾町,"27,678"
03366,岩手県 西和賀町,"5,880"
03381,岩手県 金ケ崎町,"15,895"
03402,岩手県 平泉町,"7,868"
03441,岩手県 住田町,"5,720"
03461,岩手県 大槌町,"11,759"
03482,岩手県 山田町,"15,826"
03483,岩手県 岩泉町,"9,841"
03484,岩手県 田野畑村,"3,466"
03485,岩手県 普代村,"2,795"
03501,岩手県 軽米町,"9,333"
03503,岩手県 野田村,"4,149"
03506,岩手県 九戸村,"5,865"
03507,岩手県 洋野町,"16,693"
03524,岩手県 一戸町,"12,919"
04100,宮城県 仙台市,"1,082,159"
04101,宮城県 仙台市 青葉区,"310,183"
04102,宮城県 仙台市 宮城野区,"194,825"
04103,宮城県 仙台市 若林区,"133,498"
04104,宮城県 仙台市 太白区,"226,855"
04105,宮城県 仙台市 泉区,"216,798"
04202,宮城県 石巻市,"147,214"
04203,宮城県 塩竈市,"54,187"
04205,宮城県 気仙沼市,"64,988"
04206,宮城県 白石市,"35,272"
04207,宮城県 名取市,"76,668"
04208,宮城県 角田市,"30,180"
04209,宮城県 多賀城市,"62,096"
04211,宮城県 岩沼市,"44,678"
04212,宮城県 登米市,"81,959"
04213,宮城県 栗原市,"69,906"
04214,宮城県 東松島市,"39,503"
04215,宮城県 大崎市,"133,391"
04216,宮城県 富谷市,"51,591"
04301,宮城県 蔵王町,"12,316"
04302,宮城県 七ヶ宿町,"1,461"
04321,宮城県 大河原町,"23,798"
04322,宮城県 村田町,"11,501"
04323,宮城県 柴田町,"39,525"
04324,宮城県 川崎町,"9,167"
04341,宮城県 丸森町,"13,972"
04361,宮城県 亘理町,"33,589"
04362,宮城県 山元町,"12,315"
04401,宮城県 松島町,"14,421"
04404,宮城県 七ヶ浜町,"18,652"
04406,宮城県 利府町,"35,835"
04421,宮城県 大和町,"28,244"
04422,宮城県 大郷町,"8,370"
04424,宮城県 大衡村,"5,703"
04444,宮城県 色麻町,"7,238"
04445,宮城県 加美町,"23,743"
04501,宮城県 涌谷町,"16,701"
04505,宮城県 美里町,"24,852"
