code,name,population
01000,北海道,5381733 
02000,青森県,1308265 
03000,岩手県,1279594 
04000,宮城県,2333899 
05000,秋田県,1023119 
06000,山形県,1123891 
07000,福島県,1914039 
08000,茨城県,2916976 
09000,栃木県,1974255 
10000,群馬県,1973115 
11000,埼玉県,7266534 
12000,千葉県,6222666 
13000,東京都,13515271 
14000,神奈川県,9126214 
15000,新潟県,2304264 
16000,富山県,1066328 
17000,石川県,1154008 
18000,福井県,786740 
19000,山梨県,834930 
20000,長野県,2098804 
21000,岐阜県,2031903 
22000,静岡県,3700305 
23000,愛知県,7483128 
24000,三重県,1815865 
25000,滋賀県,1412916 
26000,京都府,2610353 
27000,大阪府,8839469 
28000,兵庫県,5534800 
29000,奈良県,1364316 
30000,和歌山県,963579 
31000,鳥取県,573441 
32000,島根県,694352 
33000,岡山県,1921525 
34000,広島県,2843990 
35000,山口県,1404729 
36000,徳島県,755733 
37000,香川県,976263 
38000,愛媛県,1385262 
39000,高知県,728276 
40000,福岡県,5101556 
41000,佐賀県,832832 
42000,長崎県,1377187 
43000,熊本県,1786170 
44000,大分県,1166338 
45000,宮崎県,1104069 
46000,鹿児島県,1648177 
47000,沖縄県,1433566 
01100,北海道 札幌市,1952356 
01101,北海道 札幌市 中央区,237627 
01102,北海道 札幌市 北区,285321 
01103,北海道 札幌市 東区,261912 
01104,北海道 札幌市 白石区,209584 
01105,北海道 札幌市 豊平区,218652 
01106,北海道 札幌市 南区,141190 
01107,北海道 札幌市 西区,213578 
01108,北海道 札幌市 厚別区,127767 
01109,北海道 札幌市 手稲区,140999 
01110,北海道 札幌市 清田区,115726 
01202,北海道 函館市,265979 
01203,北海道 小樽市,121924 
01204,北海道 旭川市,339605 
01205,北海道 室蘭市,88564 
01206,北海道 釧路市,174742 
01207,北海道 帯広市,169327 
01208,北海道 北見市,121226 
01209,北海道 夕張市,8843 
01210,北海道 岩見沢市,84499 
01211,北海道 網走市,39077 
01212,北海道 留萌市,22221 
01213,北海道 苫小牧市,172737 
01214,北海道 稚内市,36380 
01215,北海道 美唄市,23035 
01216,北海道 芦別市,14676 
01217,北海道 江別市,120636 
01218,北海道 赤平市,11105 
01219,北海道 紋別市,23109 
01220,北海道 士別市,19914 
01221,北海道 名寄市,29048 
01222,北海道 三笠市,9076 
01223,北海道 根室市,26917 
01224,北海道 千歳市,95648 
01225,北海道 滝川市,41192 
01226,北海道 砂川市,17694 
01227,北海道 歌志内市,3585 
01228,北海道 深川市,21909 
01229,北海道 富良野市,22936 
01230,北海道 登別市,49625 
01231,北海道 恵庭市,69702 
01233,北海道 伊達市,34995 
01234,北海道 北広島市,59064 
01235,北海道 石狩市,57436 
01236,北海道 北斗市,46390 
01303,北海道 当別町,17278 
01304,北海道 新篠津村,3329 
01331,北海道 松前町,7337 
01332,北海道 福島町,4422 
01333,北海道 知内町,4653 
01334,北海道 木古内町,4547 
01337,北海道 七飯町,28120 
01343,北海道 鹿部町,4226 
01345,北海道 森町,15946 
01346,北海道 八雲町,17252 
01347,北海道 長万部町,5926 
01361,北海道 江差町,8248 
01362,北海道 上ノ国町,4876 
01363,北海道 厚沢部町,4049 
01364,北海道 乙部町,3906 
01367,北海道 奥尻町,2690 
01370,北海道 今金町,5628 
01371,北海道 せたな町,8473 
01391,北海道 島牧村,1499 
01392,北海道 寿都町,3137 
01393,北海道 黒松内町,3082 
01394,北海道 蘭越町,4843 
01395,北海道 ニセコ町,4958 
01396,北海道 真狩村,2103 
01397,北海道 留寿都村,1907 
01398,北海道 喜茂別町,2294 
01399,北海道 京極町,3187 
01400,北海道 倶知安町,15018 
01401,北海道 共和町,6224 
01402,北海道 岩内町,13042 
01403,北海道 泊村,1771 
01404,北海道 神恵内村,1004 
01405,北海道 積丹町,2115 
01406,北海道 古平町,3188 
01407,北海道 仁木町,3498 
01408,北海道 余市町,19607 
01409,北海道 赤井川村,1121 
01423,北海道 南幌町,7927 
01424,北海道 奈井江町,5674 
01425,北海道 上砂川町,3479 
01427,北海道 由仁町,5314 
01428,北海道 長沼町,11076 
01429,北海道 栗山町,12344 
01430,北海道 月形町,4577 
01431,北海道 浦臼町,1985 
01432,北海道 新十津川町,6831 
01433,北海道 妹背牛町,3091 
01434,北海道 秩父別町,2513 
01436,北海道 雨竜町,2749 
01437,北海道 北竜町,1981 
01438,北海道 沼田町,3181 
01452,北海道 鷹栖町,7018 
01453,北海道 東神楽町,10233 
01454,北海道 当麻町,6689 
01455,北海道 比布町,3777 
01456,北海道 愛別町,2976 
01457,北海道 上川町,4044 
01458,北海道 東川町,8111 
01459,北海道 美瑛町,10292 
01460,北海道 上富良野町,10826 
01461,北海道 中富良野町,5069 
01462,北海道 南富良野町,2555 
01463,北海道 占冠村,1211 
01464,北海道 和寒町,3596 
01465,北海道 剣淵町,3228 
01468,北海道 下川町,3547 
01469,北海道 美深町,4659 
01470,北海道 音威子府村,832 
01471,北海道 中川町,1767 
01472,北海道 幌加内町,1525 
01481,北海道 増毛町,4497 
01482,北海道 小平町,3336 
01483,北海道 苫前町,3265 
01484,北海道 羽幌町,7327 
01485,北海道 初山別村,1217 
01486,北海道 遠別町,2806 
01487,北海道 天塩町,3243 
01511,北海道 猿払村,2684 
01512,北海道 浜頓別町,3881 
01513,北海道 中頓別町,1757 
01514,北海道 枝幸町,8437 
01516,北海道 豊富町,4054 
01517,北海道 礼文町,2773 
01518,北海道 利尻町,2303 
01519,北海道 利尻富士町,2787 
01520,北海道 幌延町,2447 
